obj,estimator,delta_deg,seed,f_max_level,progress,max_track_err,contact_lost_frac,peak_force,wrist_f_max
46889,,30.0,97232,50.0,0.3501883729538379,0.5101925919056342,0.0,86.60254037844386,50.0
46889,,30.0,586546,50.0,1.2997906713474034,0.37491527527368274,0.0,86.60254037844386,50.0
46889,,30.0,125976,50.0,0.371060107310781,0.037498891173955134,0.46956521739130436,81.72392227845516,50.0
46889,,30.0,312347,50.0,0.2083835084523161,0.37781636689787723,0.1415929203539823,86.60254037844386,50.0
46889,,30.0,1064982,50.0,0.45873848539618645,0.48990616498092154,0.0,86.60254037844386,50.0
46889,,30.0,696536,50.0,0.6077076006630003,0.0516320912807345,0.06363636363636363,83.56307977868114,50.0
46889,,30.0,781878,50.0,1.041460359047999,0.5568486714912924,0.0,86.60254037844386,50.0
46889,,30.0,361917,50.0,0.0,0.2582292587100011,0.4636363636363636,86.60254037844386,50.0
46889,,30.0,807137,50.0,1.0258171827891422,0.4181034841098606,0.0,86.60254037844386,50.0
46889,,30.0,1001394,50.0,0.5991586094821925,0.1574868289300663,0.0,86.60254037844386,50.0
46889,,45.0,565995,50.0,0.0,0.4255775967111926,0.0,86.60254037844386,50.0
46889,,45.0,751490,50.0,0.0,0.2820485929797973,0.0,86.60254037844386,50.0
46889,,45.0,890496,50.0,0.0,0.41456457874124314,0.39823008849557523,86.60254037844386,50.0
46889,,45.0,891486,50.0,0.5701295857149556,0.523989412413742,0.0,86.60254037844386,50.0
46889,,45.0,997794,50.0,1.1903519431047258,0.6471673012641939,0.0,86.60254037844386,50.0
46889,,45.0,1057411,50.0,1.020515647516358,0.20043034844539753,0.0,86.60254037844386,50.0
46889,,45.0,854232,50.0,0.7385651715270121,0.5723459911866793,0.0,86.60254037844386,50.0
46889,,45.0,1069224,50.0,0.0031106861857376077,0.6442452619241644,0.0,78.05986265886231,50.0
46889,,45.0,1080536,50.0,0.0,0.20006380443706828,0.2,86.60254037844386,50.0
46889,,45.0,260577,50.0,0.26464953032310523,0.11584143090755111,0.0,86.60254037844386,50.0
47315,,0.0,877605,50.0,0.7125613536658083,0.03670582072049273,0.2,86.60254037844386,50.0
47315,,0.0,357520,50.0,0.5887239137436104,0.15171245138986755,0.19658119658119658,86.60254037844386,50.0
47315,,0.0,1034055,50.0,0.578698877359069,0.03783386660373075,0.1810344827586207,86.60254037844386,50.0
47315,,0.0,179887,50.0,0.7284673558714515,0.038756296442378,0.18803418803418803,86.60254037844386,50.0
47315,,0.0,1027144,50.0,0.9318397198685134,0.16248622225577566,0.0,86.60254037844386,50.0
47315,,0.0,907459,50.0,0.7595826429987251,0.03811565314321664,0.14285714285714285,86.60254037844386,50.0
47315,,0.0,306322,50.0,0.7246386511562146,0.20724630594645388,0.1724137931034483,86.60254037844386,50.0
47315,,0.0,831878,50.0,0.6898897514167434,0.16126176742539602,0.1810344827586207,86.60254037844386,50.0
47315,,0.0,686016,50.0,0.9398073020575742,0.03858022497869552,0.0,86.60254037844386,50.0
47315,,0.0,583899,50.0,0.7349887844664242,0.16589566240436754,0.17857142857142858,86.60254037844386,50.0
47315,,5.0,942529,50.0,0.8193232168707164,0.1699587175193279,0.0,86.60254037844386,50.0
47315,,5.0,564649,50.0,0.7270222906243609,0.133652782744198,0.1826086956521739,86.60254037844386,50.0
47315,,5.0,1017066,50.0,0.8198617201418462,0.15997288063271392,0.0,86.60254037844386,50.0
47315,,5.0,129831,50.0,0.3506158670672452,0.15714973935745294,0.6206896551724138,74.41393272771602,50.0
47315,,5.0,852999,50.0,0.7352217249489994,0.1442350481058632,0.24778761061946902,86.60254037844386,50.0
47315,,5.0,418822,50.0,0.4914591067857845,0.1379956872926637,0.17094017094017094,86.60254037844386,50.0
47315,,5.0,204243,50.0,0.2162254131787116,0.02718684435338412,0.7368421052631579,72.40687051880549,50.0
47315,,5.0,635008,50.0,0.1984740804322655,0.15547029899976042,0.7521367521367521,86.60254037844386,50.0
47315,,5.0,440098,50.0,0.7244198914381844,0.08278026786414487,0.23529411764705882,86.60254037844386,50.0
47315,,5.0,554527,50.0,0.8234829962515985,0.11608878636284758,0.0,86.60254037844386,50.0
47315,,10.0,780995,50.0,0.6434186258491712,0.12973006152592184,0.25,86.60254037844386,50.0
47315,,10.0,133548,50.0,0.15086259169319832,0.02728810772834767,0.7567567567567568,71.92970460426602,50.0
47315,,10.0,137572,50.0,0.7536541780954635,0.3228548875741977,0.03389830508474576,86.60254037844386,50.0
47315,,10.0,402242,50.0,0.7055859257688148,0.18227520610850637,0.23275862068965517,86.60254037844386,50.0
47315,,10.0,130340,50.0,0.9009498964816747,0.5509876735268927,0.0,86.60254037844386,50.0
47315,,10.0,672159,50.0,0.8536701600689524,0.29187259055242787,0.0,86.60254037844386,50.0
47315,,10.0,290077,50.0,0.7437134510969083,0.1657316038268357,0.0,86.60254037844386,50.0
47315,,10.0,445428,50.0,0.3473907297681495,0.04946866061266899,0.6548672566371682,78.70648666929603,50.0
47315,,10.0,705812,50.0,0.694244613006063,0.16218870874982344,0.25225225225225223,86.60254037844386,50.0
47315,,10.0,639751,50.0,0.3352880226148533,0.1538723606911794,0.509090909090909,74.74290555725729,50.0
47315,,15.0,376843,50.0,0.047564878694282685,0.025376669499019632,0.8869565217391304,71.00673097182741,50.0
47315,,15.0,614033,50.0,0.0604410449767535,0.15801312206368906,0.8596491228070176,71.44785416993575,50.0
47315,,15.0,414140,50.0,0.0385214183101944,0.042518716581228744,0.9145299145299145,86.60254037844386,50.0
47315,,15.0,783591,50.0,0.6877543250607961,0.08776548468007075,0.36134453781512604,86.60254037844386,50.0
47315,,15.0,663362,50.0,0.038181952774948416,0.14181434596425893,0.896551724137931,73.75059641740475,50.0
47315,,15.0,1076271,50.0,0.6723146419860138,0.18398366166357816,0.2972972972972973,86.60254037844386,50.0
47315,,15.0,824971,50.0,0.0826523061423757,0.027973422255924144,0.8189655172413793,71.13930801236704,50.0
47315,,15.0,661336,50.0,0.05290091707004075,0.15304112728354852,0.905982905982906,71.65279084109703,50.0
47315,,15.0,992703,50.0,0.0,0.01490323518590142,0.990990990990991,50.535379848007125,50.0
47315,,15.0,930647,50.0,0.7170081823119098,0.16037081277707316,0.3333333333333333,86.60254037844386,50.0
47315,,20.0,611978,50.0,0.025737066241534403,0.1508246099255164,0.8947368421052632,71.46016998957668,50.0
