obj,delta_deg,seed,condition,progress,max_track_err,quality_frac,peak_force,f_max_used
10685,45.0,391200,gripper_matched_fmax,0.4301775109596497,0.17743650234486835,0.0,100.63332484462369,58.10067718849054
10685,45.0,293004,gripper_matched_fmax,1.6,0.260436154031034,0.0,100.63332484462369,58.10067718849054
10685,45.0,615235,gripper_matched_fmax,0.0,0.034602320616224286,0.9152542372881356,100.63332484462369,58.10067718849054
12252,0.0,490403,gripper_matched_fmax,0.8466435835920442,0.7889932919065413,0.0,167.95941227964187,96.97141189258257
12252,0.0,606798,gripper_matched_fmax,0.0,0.14694346485486495,0.8728813559322034,167.95941227964187,96.97141189258257
12252,0.0,288346,gripper_matched_fmax,1.05501648182779,0.1765882489927903,0.0,149.22646827736003,96.97141189258257
12252,0.0,269905,gripper_matched_fmax,1.0953568753968608,0.2237300205043508,0.0,167.95941227964187,96.97141189258257
12252,0.0,203280,gripper_matched_fmax,1.0948282704642913,0.17446027776938308,0.0,167.95941227964187,96.97141189258257
12252,0.0,803215,gripper_matched_fmax,0.0,0.357298324475821,0.6052631578947368,167.95941227964187,96.97141189258257
12252,0.0,474380,gripper_matched_fmax,0.9143423808728777,0.13626878459244798,0.0,167.95941227964187,96.97141189258257
12252,0.0,119854,gripper_matched_fmax,0.0,0.18634663764346665,0.8660714285714286,167.95941227964187,96.97141189258257
12252,0.0,97751,gripper_matched_fmax,0.9557886512120641,0.18675851416213607,0.0,161.8344189110711,96.97141189258257
12252,0.0,115077,gripper_matched_fmax,0.0,0.10002214168208512,0.911504424778761,167.95941227964187,96.97141189258257
12252,5.0,875014,gripper_matched_fmax,0.0,0.14735025844487754,0.8571428571428571,167.95941227964187,96.97141189258257
12252,5.0,947041,gripper_matched_fmax,0.8212141563929544,0.2367607773357712,0.0,167.95941227964187,96.97141189258257
12252,5.0,602140,gripper_matched_fmax,1.0506211778142602,0.154430326489305,0.0,167.95941227964187,96.97141189258257
12252,5.0,906554,gripper_matched_fmax,0.8418095001048042,0.16420445268508702,0.0,167.95941227964187,96.97141189258257
12252,5.0,498264,gripper_matched_fmax,1.190919657132369,0.23159317613042568,0.0,167.95941227964187,96.97141189258257
12252,5.0,331308,gripper_matched_fmax,1.0664085850504055,0.21491465674388094,0.009009009009009009,167.95941227964187,96.97141189258257
12252,5.0,736848,gripper_matched_fmax,1.2208778765383614,0.28800768348443345,0.0,167.95941227964187,96.97141189258257
12252,5.0,97310,gripper_matched_fmax,0.68214194982473,0.24917577394257961,0.0,167.95941227964187,96.97141189258257
12252,5.0,782311,gripper_matched_fmax,0.9861950693107342,0.1462667221333028,0.0,167.95941227964187,96.97141189258257
12252,5.0,484005,gripper_matched_fmax,0.9250306687653649,0.15066906475528624,0.0,167.95941227964187,96.97141189258257
12252,10.0,965129,gripper_matched_fmax,0.7586079036157077,0.2876798597857687,0.008928571428571428,167.95941227964187,96.97141189258257
12252,10.0,639126,gripper_matched_fmax,1.0646809089433544,0.21906660985639376,0.0,167.95941227964187,96.97141189258257
12252,10.0,132582,gripper_matched_fmax,0.0,0.1362965199169247,0.9099099099099099,143.3806469526289,96.97141189258257
12252,10.0,353044,gripper_matched_fmax,0.0,0.14619958162941066,0.9292035398230089,167.95941227964187,96.97141189258257
12252,10.0,418871,gripper_matched_fmax,0.6551823771357514,0.4706095588909366,0.0,165.89623712661157,96.97141189258257
12252,10.0,104780,gripper_matched_fmax,0.0,0.27609756405141395,0.7372881355932204,167.95941227964187,96.97141189258257
12252,10.0,950256,gripper_matched_fmax,0.9134070524036628,0.18058878608015397,0.0,157.44236942997682,96.97141189258257
12252,10.0,452654,gripper_matched_fmax,1.009382695848514,0.25462776501485973,0.0,167.95941227964187,96.97141189258257
12252,10.0,1059145,gripper_matched_fmax,0.703778457189462,0.3990222194094063,0.008403361344537815,159.16084942307128,96.97141189258257
12252,10.0,495786,gripper_matched_fmax,0.6344093794770501,0.46592270279446063,0.0,166.80385513235572,96.97141189258257
12252,15.0,541710,gripper_matched_fmax,0.449564067011191,0.43138448027279025,0.0,167.95941227964187,96.97141189258257
12252,15.0,1005029,gripper_matched_fmax,0.915737030331162,0.284279592767048,0.0,167.95941227964187,96.97141189258257
12252,15.0,446765,gripper_matched_fmax,0.5215729184080506,0.26570583561338634,0.0,167.95941227964187,96.97141189258257
12252,15.0,1031913,gripper_matched_fmax,0.0,0.17336269986818495,0.8389830508474576,167.95941227964187,96.97141189258257
